Column1;Column2;Column3;Column4;Column5;Column16;Column24;Column34;Column37;Column39;Column41;Column42;Column48;Column54;Column60;Column71
Rosaceae;UPHE;pollen;NISP;;1;;15;14;17;13;;1;15;17;6
Rumex acetosa;UPHE;pollen;NISP;;;;;;;;;;;;
Rumex acetosella;UPHE;pollen;NISP;;3;5;4;4;7;1;;7;9;8;18
Rumex undiff.;UPHE;pollen;NISP;;;5;;;;;25;;;;
Salix;TRSH;pollen;NISP;;1;;1;1;2;2;;;;;
Sample quantity;LABO;volume;cm^3;;0.515;0.515;0.515;0.515;0.515;0.515;0.515;0.515;0.515;0.515;0.515
Secale cereale;UPHE;pollen;NISP;;;2;;;;;;;;;
Sinapis-type;UPHE;pollen;NISP;;1;1;1;;;2;;2;4;;
Stuckenia;AQVP;pollen;NISP;;1;10;1;;;4;;6;1;;
Thalictrum;UPHE;pollen;NISP;;;;;;;;;;;;
Thelypteris palustris-type;VACR;spore;NISP;;;;;;;;;;;;
Tilia;TRSH;pollen;NISP;;;;;;;;;1;;;
Trifolium;UPHE;pollen;NISP;;;;;;;1;;;;;
Triticum-type;UPHE;pollen;NISP;;;2;;;5;2;;;;;
Typha angustifolia/Sparganium;AQVP;pollen;NISP;;;1;;;;3;;3;1;2;1
Typha latifolia;AQVP;pollen;NISP;;;1;;;;;;;;;
Ulmus;TRSH;pollen;NISP;;2;2;8;;10;5;11;4;6;1;16
Unknown;UNID;pollen/spore;NISP;;;;;3;;;9;;;;
Urtica;UPHE;pollen;NISP;;2;4;;1;;;8;;;;
Vitis;TRSH;pollen;NISP;;;;;;;;;;;;
