Column1;Column2;Column3;Column4;Column5;Column9;Column17;Column18;Column31;Column36;Column37;Column46;Column48;Column57;Column63;Column66;Column73;Column78;Column80;Column87;Column89;Column93;Column95;Column98
Linum usitatissimum-type;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Lotus-type;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Lysimachia;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Lythrum portula;UPHE;pollen;NISP;;;;;;;;;;1;;;;;;;;;;
Lythrum salicaria;UPHE;pollen;NISP;;;1;1;;;;;;;;;;;;;;;;
Mentha-type;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Menyanthes trifoliata;AQVP;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Monactinus simplex;ALGA;colony;NISP;;28;42;45;41;40;43;22;35;41;;;;;;;;;;
Myrica;TRSH;pollen;NISP;;;;;;1;1;;;;3;2;7;;4;;1;1;;
Myriophyllum alterniflorum;AQVP;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Myriophyllum spicatum;AQVP;pollen;NISP;;1;2;1;2;;;;;2;;;;;;;;;;
Nuphar;AQVP;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Nymphaea;AQVP;pollen;NISP;;;;;;2;;;;;1;1;1;2;;2;;;;1
Ononis-type;UPHE;pollen;NISP;;;;;1;;;;;;;;;;;;;;;
Ophioglossum vulgatum;VACR;spore;NISP;;;;;;;;;;;;;;;;;;;;
Pediastrum duplex;ALGA;colony;NISP;;56;99;97;82;277;119;140;163;144;18;;2;;;;;2;;
Persicaria amphibia;UPHE;pollen;NISP;;;1;1;;;;;;;;;;;;;;;;
Persicaria maculosa-type;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Peucedanum palustre-type;UPHE;pollen;NISP;;;;;;1;1;;;;1;;;;;;;;2;1
Picea;TRSH;pollen;NISP;;30;2;1;;1;;2;;2;1;1;;;;;1;;;
Pimpinella major-type;UPHE;pollen;NISP;;;;;;1;;;;1;;;;;;;;;1;3
Pinus;TRSH;pollen;NISP;;64;65;51;53;40;36;58;51;116;51;66;88;142;150;239;209;396;427;287
Plantago lanceolata;UPHE;pollen;NISP;;1;5;4;16;22;10;21;26;27;4;1;;;;;;;;
Plantago major;UPHE;pollen;NISP;;;;;1;;;;;;;;;;;;;;;1
Plantago media;UPHE;pollen;NISP;;1;5;2;1;;;;1;1;;;;;;;;;;
Poaceae;UPHE;pollen;NISP;;134;97;83;113;132;133;127;173;204;47;23;28;30;48;37;28;34;44;228
Poaceae (Cerealia) undiff.;UPHE;pollen;NISP;;17;21;17;6;5;7;1;;1;;;;;;;;;;
