"name","group","element","units","context","S411046","S411047","S411048","S411049","S411050","S411051","S411052","S411053","S411054","S411055","S411056","S411057","S411058","S411059","S411060","S411061","S411062","S411063","S411064","S411065","S411066","S411067","S411068","S411069","S411070","S411071","S411072","S411073","S411074","S411075","S411076","S411077","S411078","S411079","S411080","S411081","S411082","S411083","S411084","S411085","S411086","S411087","S411088","S411089","S411090","S411091","S411092","S411093","S411094","S411095","S411096","S411097","S411098","S411099","S411100","S411101","S411102","S411103","S411104","S411105","S411106","S411107","S411108","S411109","S411110","S411111","S411112","S411113","S411114","S411115","S411116","S411117","S411118","S411119","S411120","S411121","S411122","S411123","S411124","S411125","S411126","S411127","S411128","S411129","S411130","S411131","S411132","S411133","S411134","S411135","S411136","S411137","S411138","S411139","S411140","S411141","S411142","S411143","S411144","S411145","S411146","S411147","S411148","S411149","S411150","S411151","S411152","S411153","S411154","S411155"
Apiaceae,UPHE,pollen,NISP,,3,3,,2,2,3,,1,1,2,1,1,,1,4,1,6,2,2,1,3,,1,,2,,1,2,,1,,2,,2,1,1,2,1,4,1,,,,,,,,,,1,1,,,,,,,2,,,1,,,1,1,,,2,,,1,,,,,,,,1,,,,,,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,3,14,13,10,8,5,12,8,7,10,9,9,4,6,7,14,6,6,9,15,13,21,12,12,14,16,17,13,15,4,17,10,14,17,14,17,20,13,17,13,5,7,7,3,4,7,14,4,8,5,3,14,3,6,2,1,7,3,2,3,3,5,3,1,,4,2,2,3,2,2,2,2,2,9,5,4,2,3,,3,1,1,,,2,,1,3,1,1,1,2,1,1,5,1,,,,,1,,,,1,,,,6
Asteroideae,UPHE,pollen,NISP,,1,5,3,,,2,5,7,8,3,3,5,2,,6,2,4,3,1,1,,2,2,2,4,,1,1,3,2,3,4,2,2,,8,6,1,3,,1,1,1,1,,1,,,1,1,,,,,,1,,1,1,,,,,,,1,,,,,1,,1,,2,1,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1
Betula,TRSH,pollen,NISP,,118,127,133,132,115,99,88,93,113,96,90,106,121,127,150,164,173,183,160,157,110,115,153,146,177,181,154,164,151,154,158,169,146,161,211,125,127,157,148,93,89,76,92,100,79,77,92,77,101,52,55,102,68,74,59,104,90,127,99,83,104,79,78,140,74,82,90,95,83,93,107,120,143,139,130,238,230,170,114,99,65,71,79,71,101,78,72,111,108,96,59,82,65,67,92,93,119,75,30,87,110,105,34,53,50,70,63,49,229,38
Brassicaceae,UPHE,pollen,NISP,,24,28,21,7,12,5,7,6,7,5,2,4,2,1,1,2,,2,4,1,,,,1,,,1,,1,1,,,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calluna vulgaris,TRSH,pollen,NISP,,5,4,4,6,9,9,6,10,9,9,10,13,9,7,10,9,9,6,6,4,1,3,8,5,6,7,7,11,5,7,10,9,13,4,15,8,8,8,6,2,6,3,1,,2,3,3,2,4,2,3,3,2,2,1,1,,1,1,,6,1,4,5,1,1,3,2,2,2,3,2,3,4,,3,6,4,3,3,4,4,4,3,3,1,4,8,4,3,1,3,1,1,2,,3,1,,,,3,2,,,,1,,,
Caltha-type,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanulaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpinus,TRSH,pollen,NISP,,13,26,12,11,34,30,16,17,14,13,23,30,20,23,43,38,37,21,21,18,35,39,39,41,22,20,7,18,26,24,30,20,18,10,9,21,13,9,10,2,7,4,6,11,4,3,6,3,10,5,4,4,,2,2,1,,1,,,,,,,,,,,,1,,,1,1,,,,,,,,,1,,,,,1,,2,,,,,,,,,,,,,,1,,,,,,
Caryophyllaceae undiff.,UPHE,pollen,NISP,,,3,,1,2,3,,3,,2,1,1,1,,1,3,,1,,,,1,,,,,1,1,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,1,2
Centaurea cyanus,UPHE,pollen,NISP,,1,,,1,1,,1,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea jacea-type,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea scabiosa-type,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,2,2,2,4,3,5,5,4,3,9,5,1,5,2,1,1,,,1,2,2,1,,2,1,5,3,,1,1,,1,3,,2,1,2,,,1,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corylus,TRSH,pollen,NISP,,32,28,28,48,45,48,72,80,63,73,106,105,106,152,140,158,118,172,169,142,196,190,203,227,183,203,290,206,200,195,183,204,223,188,204,244,197,217,202,243,243,322,291,254,280,230,269,380,391,465,312,544,328,362,304,386,342,402,368,343,606,406,321,381,284,328,224,329,246,337,423,385,382,300,307,326,259,256,287,346,296,327,297,243,226,253,253,289,263,100,260,368,330,476,380,526,488,449,166,354,404,327,119,117,183,213,225,244,21,2
Cyperaceae,UPHE,pollen,NISP,,32,49,41,20,16,14,7,6,5,4,4,9,9,7,3,,,7,3,16,15,13,5,3,20,15,5,19,13,15,9,15,11,21,6,8,7,19,13,10,5,7,2,4,11,5,2,6,6,5,6,7,9,6,17,12,9,9,5,9,6,9,1,2,4,5,7,4,4,6,8,4,9,6,7,11,12,9,6,5,6,4,8,5,8,8,6,4,11,5,3,6,6,5,3,4,2,1,1,,5,,4,2,2,3,6,,11,28
Dipsacoideae undiff.,UPHE,pollen,NISP,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris filix-mas-type,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,2,,1,,2,,,,,,,,,,,,,,,,
