"name","group","element","units","context","S411046","S411047","S411048","S411049","S411050","S411051","S411052","S411053","S411054","S411055","S411056","S411057","S411058","S411059","S411060","S411061","S411062","S411063","S411064","S411065","S411066","S411067","S411068","S411069","S411070","S411071","S411072","S411073","S411074","S411075","S411076","S411077","S411078","S411079","S411080","S411081","S411082","S411083","S411084","S411085","S411086","S411087","S411088","S411089","S411090","S411091","S411092","S411093","S411094","S411095","S411096","S411097","S411098","S411099","S411100","S411101","S411102","S411103","S411104","S411105","S411106","S411107","S411108","S411109","S411110","S411111","S411112","S411113","S411114","S411115","S411116","S411117","S411118","S411119","S411120","S411121","S411122","S411123","S411124","S411125","S411126","S411127","S411128","S411129","S411130","S411131","S411132","S411133","S411134","S411135","S411136","S411137","S411138","S411139","S411140","S411141","S411142","S411143","S411144","S411145","S411146","S411147","S411148","S411149","S411150","S411151","S411152","S411153","S411154","S411155"
Poaceae undiff.,UPHE,pollen,NISP,,92,100,134,121,114,73,64,78,63,55,51,59,52,58,53,56,48,30,39,46,59,66,41,49,63,45,58,83,80,60,48,41,59,106,75,86,109,123,129,89,49,57,30,59,37,32,39,41,16,47,21,30,33,29,17,26,21,14,23,22,34,15,15,19,19,20,13,19,16,18,28,12,14,23,33,20,14,14,23,9,17,11,10,6,12,17,9,25,18,36,5,25,4,14,26,30,26,23,4,22,30,36,11,7,12,11,13,13,33,12
Polygonum aviculare-type,UPHE,pollen,NISP,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum sensu lato undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiaceae undiff.,VACR,spore,NISP,,26,20,21,14,16,19,20,32,38,31,41,33,19,10,16,18,8,3,10,13,20,26,16,36,25,31,28,42,29,38,49,65,66,82,70,84,36,30,26,25,,11,4,11,15,16,13,10,6,3,11,10,12,8,9,14,14,13,7,7,17,12,18,9,14,10,9,16,11,9,14,9,11,10,5,18,9,20,9,12,12,7,10,11,18,15,9,15,11,23,4,20,6,20,7,6,,3,7,6,5,7,11,3,3,3,1,1,11,1
Polypodium vulgare,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Populus,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,3,,,1,,,,,,,,,1,,2,,1,,,,1,2,1,,,,1,,,1,2,,,,1,,,,4,3,,2,2,,3,,2,,2,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,1
Potamogeton,AQVP,pollen,NISP,,1,1,2,,,,1,1,,,,3,,,,,1,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,2,,,,1,1,1,,,,1,2,,1,2,1,2,1,,,,1,1,,,,,,,,,,,,,,,,,1,,2,1,2,
Pteridium,VACR,spore,NISP,,1,,1,2,,1,,1,,2,3,1,,,,1,1,,,,,1,,1,1,2,1,2,,2,2,,,1,,,,,,3,1,,,,1,2,,2,1,1,,,1,,,2,4,,1,3,5,1,1,,4,1,1,1,2,2,3,2,,1,6,4,6,3,1,4,1,,8,1,,,1,,1,1,,,3,3,,,,,,,,,,,,,,,,
Quercus,TRSH,pollen,NISP,,87,89,59,63,67,101,110,116,119,120,131,135,126,110,76,86,97,137,144,152,146,154,108,109,94,94,123,146,141,148,126,114,119,82,74,74,65,75,81,107,128,149,175,108,121,164,122,161,122,131,113,207,150,171,194,204,183,240,192,190,234,172,187,229,167,169,151,169,153,163,199,169,161,191,146,155,143,124,185,218,176,168,176,209,242,218,178,201,199,185,172,165,147,150,145,209,137,182,62,96,106,95,32,51,29,16,,2,1,
Ranunculus-type,UPHE,pollen,NISP,,1,2,4,,3,2,9,2,2,4,4,1,2,3,,1,1,2,2,,1,1,1,1,2,3,2,,,1,,1,3,1,,1,,3,3,1,1,,,1,,1,1,,1,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,3,,,,2,,,,,,,,,,,,,,
Rhamnus cathartica,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
Rhinanthus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,,,,,,2,2,,,,1,,2,1,1,2,3,,1,2,1,,,1,1,2,2,2,1,,,1,1,,3,,,3,3,,,,2,,1,,2,,,1,,1,,,,3,,,1,2,1,,,1,1,2,1,1,,2,,,,,1,4,2,,,2,2,2,,2,,,,2,,2,2,,,,1,,,,,,,,,,2,1,,,,
Rubiaceae,TRSH,pollen,NISP,,,,,1,,,,,,1,1,,1,,2,1,,,,3,,2,1,1,,1,1,1,,4,2,2,1,,1,1,3,6,3,2,,1,,,,,1,,,,,,2,,,,,,,1,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumex subg. Acetosa,UPHE,pollen,NISP,,30,29,36,47,50,51,56,53,57,43,34,52,51,37,22,33,23,21,17,9,12,15,7,3,19,18,9,19,12,13,6,13,13,27,24,7,11,21,12,14,4,2,2,2,2,1,,4,4,3,4,2,2,1,,,2,6,1,4,4,1,,,3,3,1,,3,,2,1,,3,2,1,1,,2,,,,1,,,,1,,,,,1,1,,,,,,,,1,,,,1,,,,,
Rumex subg. Rumex-type,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,1,,1,,3,2,,,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix,TRSH,pollen,NISP,,7,4,6,8,4,5,3,1,3,1,2,10,,5,7,10,7,7,8,11,6,7,7,3,7,5,1,7,3,4,4,4,7,4,3,3,1,3,5,4,4,3,2,2,2,2,1,1,2,4,,,4,4,1,1,4,,,3,3,2,1,3,1,1,3,,1,6,2,,1,1,3,,3,4,4,6,1,2,5,,,3,,3,3,,,,,1,5,9,2,2,,2,,,,2,1,1,4,2,10,13
Scrophularia-type,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Secale-type,UPHE,pollen,NISP,,44,41,64,64,73,57,33,33,20,20,16,9,11,4,9,4,2,14,2,7,2,5,2,2,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphagnum,AQBR,spore,NISP,,1,1,3,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,1,,2,,,,,,,,,,,,,1,1,,,1,1,,,1,,,,,,4,,1,1,,1,,,1,1,1,1,1,,1,1,1,,1,1,1,,,1,,2,,,,,,1,1,1,,,,,,,,,,,,1
Stachys-type,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Succisa,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,1,,,,,1,,1,,,,,1,,,1,,,,,,,,,,,2,,,,,2,,1,,1,1,,,,,,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Thelypteris palustris-type,VACR,spore,NISP,,1,,,,,,,1,,,1,,,,,,,1,2,1,,,,1,,,,1,2,,,2,1,,1,2,5,,1,1,,,1,1,1,1,,,,1,1,5,1,,1,,,,1,,,1,2,,2,2,2,,,1,1,2,,3,4,1,,,2,3,3,,1,1,4,,3,6,8,2,2,9,,2,,,4,,,,,,,,,,,,,
Tilia,TRSH,pollen,NISP,,2,1,5,2,2,4,4,3,8,7,2,4,7,3,10,10,8,8,16,7,4,4,5,4,8,5,13,10,10,18,6,6,8,10,13,18,6,11,7,23,15,24,19,43,24,20,30,26,14,17,17,33,22,22,37,31,25,14,17,20,28,16,13,40,27,41,36,40,30,41,40,28,40,28,14,20,9,10,34,46,27,39,51,42,54,46,58,58,47,17,39,50,60,26,44,71,56,51,26,58,47,66,22,24,29,7,1,,,
Triticum-type,UPHE,pollen,NISP,,11,8,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typha angustifolia-type,AQVP,pollen,NISP,,,3,1,1,2,3,1,3,1,3,,,,4,,4,4,4,3,1,5,,5,4,4,3,6,2,5,4,,7,6,8,6,9,10,4,6,8,5,7,1,4,3,,3,3,11,1,4,2,2,1,5,5,3,2,6,3,6,2,,2,1,3,,3,2,,4,,5,3,3,4,3,1,1,3,2,4,3,2,2,,,4,4,2,,2,1,2,,,,,1,,,,1,,1,,5,,12,5
Ulmus,TRSH,pollen,NISP,,51,43,43,50,28,14,5,9,16,8,6,7,6,8,12,9,7,19,19,10,18,22,14,11,19,4,11,16,20,30,15,8,26,9,14,13,11,11,13,28,27,20,20,20,33,65,66,34,22,12,17,42,26,35,64,65,50,34,19,23,37,18,49,67,46,26,28,40,68,58,33,27,20,18,7,13,9,16,21,61,84,92,75,105,130,111,99,143,120,106,87,114,91,111,97,105,102,89,38,98,119,100,46,51,45,26,29,3,3,1
Unknown,UNID,pollen/spore,NISP,,,1,1,,1,1,,,1,,,,,,,,,,,,,,1,,,1,1,1,,2,,,,,,,,,,,,3,2,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,2,,,,,1,,,,2,,,,,,,,,3,,,,1,1,3,1
Urtica,UPHE,pollen,NISP,,1,,,2,,,,2,,3,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,2,,1,,,,,,,1,,,,,2,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valeriana,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum,TRSH,pollen,NISP,,,,,,,,,2,,,,,1,,1,,,,,2,,,,,1,1,2,1,,1,2,2,,1,,,,2,1,,,,,1,,1,,2,,2,1,,,1,,1,1,,,,,,1,,,,,,1,,,,,3,,,,1,1,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,1,1,
Viscum,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,
cf. Calystegia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
cf. Chrysosplenium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
